Category,City,Country,Customer ID,Customer Name,Discount Category ,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit Status ,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales,Shipping Days
Furniture,Henderson,United States,CG-12520,Claire Gute,No Discount ,08-11-2016,CA-2016-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,Profit,South,Consumer,11-11-2016,Second Class,Kentucky,Bookcases,0,41.9136,0.16,2,261.96,3
Furniture,Henderson,United States,CG-12520,Claire Gute,No Discount ,08-11-2016,CA-2016-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Profit,South,Consumer,11-11-2016,Second Class,Kentucky,Chairs,0,219.582,0.3,3,731.94,3
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,No Discount ,12-06-2016,CA-2016-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Profit,West,Corporate,16-06-2016,Second Class,California,Labels,0,6.8714,0.47,2,14.62,4
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,Medium Discount,11-10-2015,US-2015-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Loss,South,Consumer,18-10-2015,Standard Class,Florida,Tables,0.45,-383.031,-0.4,5,957.5775,7
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,Low Discount ,11-10-2015,US-2015-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Profit,South,Consumer,18-10-2015,Standard Class,Florida,Storage,0.2,2.5164,0.1125,2,22.368,7
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,No Discount ,09-06-2014,CA-2014-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Profit,West,Consumer,14-06-2014,Standard Class,California,Furnishings,0,14.1694,0.29,7,48.86,5
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,No Discount ,09-06-2014,CA-2014-115812,90032,OFF-AR-10002833,Newell 322,Profit,West,Consumer,14-06-2014,Standard Class,California,Art,0,1.9656,0.27,4,7.28,5
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,Low Discount ,09-06-2014,CA-2014-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Profit,West,Consumer,14-06-2014,Standard Class,California,Phones,0.2,90.7152,0.1,6,907.152,5
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,Low Discount ,09-06-2014,CA-2014-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Profit,West,Consumer,14-06-2014,Standard Class,California,Binders,0.2,5.7825,0.3125,3,18.504,5
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,No Discount ,09-06-2014,CA-2014-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Profit,West,Consumer,14-06-2014,Standard Class,California,Appliances,0,34.47,0.3,5,114.9,5
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,Low Discount ,09-06-2014,CA-2014-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Profit,West,Consumer,14-06-2014,Standard Class,California,Tables,0.2,85.3092,0.05,9,1706.184,5
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,Low Discount ,09-06-2014,CA-2014-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Profit,West,Consumer,14-06-2014,Standard Class,California,Phones,0.2,68.3568,0.075,4,911.424,5
Office Supplies,Concord,United States,AA-10480,Andrew Allen,Low Discount ,15-04-2017,CA-2017-114412,28027,OFF-PA-10002365,Xerox 1967,Profit,South,Consumer,20-04-2017,Standard Class,North Carolina,Paper,0.2,5.4432,0.35,3,15.552,5
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,Low Discount ,05-12-2016,CA-2016-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Profit,West,Consumer,10-12-2016,Standard Class,Washington,Binders,0.2,132.5922,0.325,3,407.976,5
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,High Discount ,22-11-2015,US-2015-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Loss,Central,Home Office,26-11-2015,Standard Class,Texas,Appliances,0.8,-123.858,-1.8,5,68.81,4
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,High Discount ,22-11-2015,US-2015-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Loss,Central,Home Office,26-11-2015,Standard Class,Texas,Binders,0.8,-3.816,-1.5,3,2.544,4
Office Supplies,Madison,United States,PK-19075,Pete Kriz,No Discount ,11-11-2014,CA-2014-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Profit,Central,Consumer,18-11-2014,Standard Class,Wisconsin,Storage,0,13.3176,0.02,6,665.88,7
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,No Discount ,13-05-2014,CA-2014-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,Profit,West,Consumer,15-05-2014,Second Class,Utah,Storage,0,9.99,0.18,2,55.5,2
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,No Discount ,27-08-2014,CA-2014-143336,94109,OFF-AR-10003056,Newell 341,Profit,West,Consumer,01-09-2014,Second Class,California,Art,0,2.4824,0.29,2,8.56,5
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,Low Discount ,27-08-2014,CA-2014-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,Profit,West,Consumer,01-09-2014,Second Class,California,Phones,0.2,16.011,0.075,3,213.48,5
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,Low Discount ,27-08-2014,CA-2014-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Profit,West,Consumer,01-09-2014,Second Class,California,Binders,0.2,7.384,0.325,4,22.72,5
Office Supplies,Fremont,United States,KB-16585,Ken Black,No Discount ,09-12-2016,CA-2016-137330,68025,OFF-AR-10000246,Newell 318,Profit,Central,Corporate,13-12-2016,Standard Class,Nebraska,Art,0,5.0596,0.26,7,19.46,4
Office Supplies,Fremont,United States,KB-16585,Ken Black,No Discount ,09-12-2016,CA-2016-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Profit,Central,Corporate,13-12-2016,Standard Class,Nebraska,Appliances,0,15.6884,0.26,7,60.34,4
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,Medium Discount,16-07-2017,US-2017-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Loss,East,Consumer,18-07-2017,Second Class,Pennsylvania,Chairs,0.3,-1.0196,-0.014285714,2,71.372,2
Furniture,Orem,United States,EB-13870,Emily Burns,No Discount ,25-09-2015,CA-2015-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Profit,West,Consumer,30-09-2015,Standard Class,Utah,Tables,0,240.2649,0.23,3,1044.63,5
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,Low Discount ,16-01-2016,CA-2016-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,Profit,West,Consumer,20-01-2016,Second Class,California,Binders,0.2,4.2224,0.3625,2,11.648,4
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,No Discount ,16-01-2016,CA-2016-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Profit,West,Consumer,20-01-2016,Second Class,California,Accessories,0,11.7741,0.13,3,90.57,4
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,Medium Discount,17-09-2015,US-2015-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Loss,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Bookcases,0.5,-1665.0522,-0.54,7,3083.43,4
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,High Discount ,17-09-2015,US-2015-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Loss,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders,0.7,-7.0532,-0.733333333,2,9.618,4
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,Low Discount ,17-09-2015,US-2015-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Profit,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Furnishings,0.2,15.525,0.125,3,124.2,4
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Low Discount ,17-09-2015,US-2015-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,Profit,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Envelopes,0.2,1.1016,0.3375,2,3.264,4
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Low Discount ,17-09-2015,US-2015-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Profit,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Art,0.2,9.7092,0.1125,6,86.304,4
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,High Discount ,17-09-2015,US-2015-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Loss,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders,0.7,-5.715,-0.833333333,6,6.858,4
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Low Discount ,17-09-2015,US-2015-150630,19140,OFF-AR-10001683,Lumber Crayons,Profit,East,Consumer,21-09-2015,Standard Class,Pennsylvania,Art,0.2,3.546,0.225,2,15.76,4
Office Supplies,Houston,United States,MA-17560,Matt Abelman,Low Discount ,19-10-2017,CA-2017-107727,77095,OFF-PA-10000249,Easy-staple paper,Profit,Central,Home Office,23-10-2017,Second Class,Texas,Paper,0.2,9.9468,0.3375,3,29.472,4
Technology,Richardson,United States,GH-14485,Gene Hale,Low Discount ,08-12-2016,CA-2016-117590,75080,TEC-PH-10004977,GE 30524EE4,Profit,Central,Corporate,10-12-2016,First Class,Texas,Phones,0.2,123.4737,0.1125,7,1097.544,2
Furniture,Richardson,United States,GH-14485,Gene Hale,High Discount ,08-12-2016,CA-2016-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Loss,Central,Corporate,10-12-2016,First Class,Texas,Furnishings,0.6,-147.963,-0.775,5,190.92,2
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,Low Discount ,27-12-2015,CA-2015-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Profit,Central,Home Office,31-12-2015,Standard Class,Texas,Envelopes,0.2,35.415,0.3125,9,113.328,4
Furniture,Houston,United States,SN-20710,Steve Nguyen,Medium Discount,27-12-2015,CA-2015-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Loss,Central,Home Office,31-12-2015,Standard Class,Texas,Bookcases,0.32,-46.9764,-0.088235294,3,532.3992,4
Furniture,Houston,United States,SN-20710,Steve Nguyen,Medium Discount,27-12-2015,CA-2015-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Loss,Central,Home Office,31-12-2015,Standard Class,Texas,Chairs,0.3,-15.147,-0.071428571,3,212.058,4
Technology,Houston,United States,SN-20710,Steve Nguyen,Low Discount ,27-12-2015,CA-2015-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Profit,Central,Home Office,31-12-2015,Standard Class,Texas,Phones,0.2,41.7564,0.1125,4,371.168,4
Technology,Naperville,United States,LC-16930,Linda Cazamias,Low Discount ,10-09-2017,CA-2017-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Profit,Central,Corporate,15-09-2017,Standard Class,Illinois,Phones,0.2,16.5564,0.1125,4,147.168,5
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,No Discount ,17-07-2016,CA-2016-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Profit,West,Corporate,22-07-2016,Standard Class,California,Storage,0,3.894,0.05,2,77.88,5
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,Low Discount ,19-09-2017,CA-2017-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Profit,South,Corporate,23-09-2017,Standard Class,Florida,Storage,0.2,9.5616,0.1,2,95.616,4
Technology,Eagan,United States,ON-18715,Odella Nelson,No Discount ,11-03-2016,CA-2016-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Profit,Central,Corporate,13-03-2016,First Class,Minnesota,Accessories,0,19.7714,0.43,2,45.98,2
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,No Discount ,11-03-2016,CA-2016-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Profit,Central,Corporate,13-03-2016,First Class,Minnesota,Binders,0,8.2062,0.47,2,17.46,2
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,No Discount ,20-10-2014,CA-2014-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Profit,Central,Consumer,25-10-2014,Second Class,Michigan,Storage,0,8.4784,0.04,4,211.96,5
Technology,Dover,United States,LH-16900,Lena Hernandez,No Discount ,20-06-2016,CA-2016-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Profit,East,Consumer,25-06-2016,Standard Class,Delaware,Accessories,0,4.95,0.11,3,45,5
Technology,Dover,United States,LH-16900,Lena Hernandez,No Discount ,20-06-2016,CA-2016-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Profit,East,Consumer,25-06-2016,Standard Class,Delaware,Phones,0,6.104,0.28,2,21.8,5
Office Supplies,New Albany,United States,DP-13000,Darren Powers,No Discount ,18-04-2015,CA-2015-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Profit,Central,Consumer,22-04-2015,Standard Class,Indiana,Binders,0,17.9634,0.47,6,38.22,4
Office Supplies,New Albany,United States,DP-13000,Darren Powers,No Discount ,18-04-2015,CA-2015-115742,47150,OFF-LA-10002762,Avery 485,Profit,Central,Consumer,22-04-2015,Standard Class,Indiana,Labels,0,35.3346,0.47,6,75.18,4
Furniture,New Albany,United States,DP-13000,Darren Powers,No Discount ,18-04-2015,CA-2015-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Profit,Central,Consumer,22-04-2015,Standard Class,Indiana,Furnishings,0,2.9568,0.48,2,6.16,4
Furniture,New Albany,United States,DP-13000,Darren Powers,No Discount ,18-04-2015,CA-2015-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Profit,Central,Consumer,22-04-2015,Standard Class,Indiana,Chairs,0,17.0981,0.19,1,89.99,4
Office Supplies,New York City,United States,JM-15265,Janet Molinari,No Discount ,11-12-2016,CA-2016-105816,10024,OFF-FA-10000304,Advantus Push Pins,Profit,East,Corporate,17-12-2016,Standard Class,New York,Fasteners,0,6.2566,0.41,7,15.26,6
Technology,New York City,United States,JM-15265,Janet Molinari,No Discount ,11-12-2016,CA-2016-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Profit,East,Corporate,17-12-2016,Standard Class,New York,Phones,0,298.6855,0.29,5,1029.95,6
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,No Discount ,17-06-2016,CA-2016-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,Profit,East,Consumer,18-06-2016,First Class,New York,Storage,0,52.14,0.25,6,208.56,1
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,No Discount ,17-06-2016,CA-2016-111682,12180,OFF-PA-10001569,Xerox 232,Profit,East,Consumer,18-06-2016,First Class,New York,Paper,0,15.552,0.48,5,32.4,1
Furniture,Troy,United States,TB-21055,Ted Butterfield,Low Discount ,17-06-2016,CA-2016-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,Profit,East,Consumer,18-06-2016,First Class,New York,Chairs,0.1,7.098,0.022222222,5,319.41,1
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,No Discount ,17-06-2016,CA-2016-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Profit,East,Consumer,18-06-2016,First Class,New York,Paper,0,6.9888,0.48,2,14.56,1
Technology,Troy,United States,TB-21055,Ted Butterfield,No Discount ,17-06-2016,CA-2016-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Profit,East,Consumer,18-06-2016,First Class,New York,Accessories,0,3.3,0.11,2,30,1
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,Low Discount ,17-06-2016,CA-2016-111682,12180,OFF-BI-10001460,Plastic Binding Combs,Profit,East,Consumer,18-06-2016,First Class,New York,Binders,0.2,16.362,0.3375,4,48.48,1
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,No Discount ,17-06-2016,CA-2016-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,Profit,East,Consumer,18-06-2016,First Class,New York,Art,0,0.84,0.5,1,1.68,1
Technology,Los Angeles,United States,KM-16720,Kunst Miller,No Discount ,24-11-2015,CA-2015-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Profit,West,Consumer,30-11-2015,Standard Class,California,Accessories,0,6.1512,0.44,2,13.98,6
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,Low Discount ,24-11-2015,CA-2015-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Profit,West,Consumer,30-11-2015,Standard Class,California,Binders,0.2,9.3612,0.3625,6,25.824,6
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,No Discount ,24-11-2015,CA-2015-135545,90004,OFF-PA-10003892,Xerox 1943,Profit,West,Consumer,30-11-2015,Standard Class,California,Paper,0,68.9631,0.47,3,146.73,6
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,No Discount ,24-11-2015,CA-2015-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Profit,West,Consumer,30-11-2015,Standard Class,California,Furnishings,0,22.3328,0.28,4,79.76,6
Furniture,Chicago,United States,PS-18970,Paul Stevenson,Medium Discount,30-04-2015,US-2015-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Loss,Central,Home Office,05-05-2015,Standard Class,Illinois,Chairs,0.3,-15.2225,-0.071428571,5,213.115,5
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,Low Discount ,05-12-2014,CA-2014-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Profit,West,Corporate,10-12-2014,Standard Class,Arizona,Art,0.2,111.3024,0.1,8,1113.024,5
Technology,Gilbert,United States,BS-11590,Brendan Sweed,Low Discount ,05-12-2014,CA-2014-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Profit,West,Corporate,10-12-2014,Standard Class,Arizona,Phones,0.2,62.988,0.375,4,167.968,5
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,No Discount ,04-06-2016,CA-2016-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Profit,South,Consumer,06-06-2016,First Class,Virginia,Paper,0,35.6636,0.47,2,75.88,2
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,Low Discount ,18-09-2016,CA-2016-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Profit,East,Consumer,23-09-2016,Standard Class,New York,Binders,0.2,1.731,0.375,1,4.616,5
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,No Discount ,14-09-2017,CA-2017-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Profit,Central,Consumer,17-09-2017,Second Class,Michigan,Paper,0,8.763,0.46,3,19.05,3
Furniture,Memphis,United States,JE-15745,Joel Eaton,Low Discount ,26-04-2015,US-2015-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,Loss,South,Consumer,02-05-2015,Standard Class,Tennessee,Chairs,0.2,-114.3912,-0.1375,8,831.936,6
Furniture,Memphis,United States,JE-15745,Joel Eaton,Low Discount ,26-04-2015,US-2015-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Profit,South,Consumer,02-05-2015,Standard Class,Tennessee,Furnishings,0.2,1.213,0.0125,2,97.04,6
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,Low Discount ,26-04-2015,US-2015-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,Loss,South,Consumer,02-05-2015,Standard Class,Tennessee,Storage,0.2,-18.196,-0.25,1,72.784,6
Office Supplies,Houston,United States,KB-16600,Ken Brennan,High Discount ,09-12-2017,US-2017-118038,77041,OFF-BI-10004182,Economy Binders,Loss,Central,Corporate,11-12-2017,First Class,Texas,Binders,0.8,-1.9344,-1.55,3,1.248,2
Furniture,Houston,United States,KB-16600,Ken Brennan,High Discount ,09-12-2017,US-2017-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Loss,Central,Corporate,11-12-2017,First Class,Texas,Furnishings,0.6,-5.8248,-0.6,3,9.708,2
Office Supplies,Houston,United States,KB-16600,Ken Brennan,Low Discount ,09-12-2017,US-2017-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Profit,Central,Corporate,11-12-2017,First Class,Texas,Storage,0.2,2.724,0.1,3,27.24,2
Furniture,Houston,United States,JE-15745,Joel Eaton,High Discount ,26-11-2014,US-2014-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Loss,Central,Consumer,01-12-2014,Second Class,Texas,Furnishings,0.6,-14.475,-0.75,5,19.3,5
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,No Discount ,12-06-2016,CA-2016-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Profit,South,Corporate,15-06-2016,First Class,Alabama,Appliances,0,56.2032,0.27,1,208.16,3
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,No Discount ,12-06-2016,CA-2016-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Profit,South,Corporate,15-06-2016,First Class,Alabama,Binders,0,8.0352,0.48,3,16.74,3
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,No Discount ,12-10-2014,CA-2014-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Profit,West,Consumer,16-10-2014,Standard Class,California,Art,0,4.172,0.28,5,14.9,4
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,No Discount ,12-10-2014,CA-2014-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Profit,West,Consumer,16-10-2014,Standard Class,California,Storage,0,6.2031,0.29,1,21.39,4
